optimalnumber,probabilityrange,date,department,capacity,probability,day,month
296,0.81915949395011689,11/01/2016,1,150,0.52,1,1
395,0.86921529415382359,11/01/2016,1,200,0.52,1,1
205,0.70403985245544964,12/01/2016,1,100,0.5,2,1
277,0.77057553537061163,12/01/2016,1,135,0.5,2,1
308,0.81007471324425562,12/01/2016,1,150,0.5,2,1
411,0.86116616311449112,12/01/2016,1,200,0.5,2,1
210,0.69943452957890839,13/01/2016,1,100,0.49,3,1
282,0.76613982535829828,13/01/2016,1,135,0.49,3,1
314,0.80581165798194854,13/01/2016,1,150,0.49,3,1
419,0.85734187931234729,13/01/2016,1,200,0.49,3,1
223,0.68554071622061696,14/01/2016,1,100,0.46,4,1
301,0.75255377325840422,14/01/2016,1,135,0.46,4,1
334,0.79292728395700163,14/01/2016,1,150,0.46,4,1
446,0.84572444880116182,14/01/2016,1,200,0.46,4,1
210,0.69943452957890839,15/01/2016,1,100,0.49,5,1
282,0.76613982535829828,15/01/2016,1,135,0.49,5,1
314,0.80581165798194854,15/01/2016,1,150,0.49,5,1
419,0.85734187931234729,15/01/2016,1,200,0.49,5,1
214,0.69482467011973614,16/01/2016,1,100,0.48,6,1
288,0.76159738698802204,16/01/2016,1,135,0.48,6,1
320,0.80143253315270013,16/01/2016,1,150,0.48,6,1
428,0.8533736228424269,16/01/2016,1,200,0.48,6,1
201,0.70895064484739445,18/01/2016,1,100,0.51,1,1
271,0.77548357987127059,18/01/2016,1,135,0.51,1,1
301,0.8145509460676279,18/01/2016,1,150,0.51,1,1
402,0.86515094574975249,18/01/2016,1,200,0.51,1,1
210,0.69943452957890839,19/01/2016,1,100,0.49,2,1
282,0.76613982535829828,19/01/2016,1,135,0.49,2,1
314,0.80581165798194854,19/01/2016,1,150,0.49,2,1
419,0.85734187931234729,19/01/2016,1,200,0.49,2,1
210,0.69943452957890839,20/01/2016,1,100,0.49,3,1
282,0.76613982535829828,20/01/2016,1,135,0.49,3,1
314,0.80581165798194854,20/01/2016,1,150,0.49,3,1
419,0.85734187931234729,20/01/2016,1,200,0.49,3,1
219,0.69007376657928954,21/01/2016,1,100,0.47,4,1
294,0.75709330055004964,21/01/2016,1,135,0.47,4,1
327,0.79718983247790309,21/01/2016,1,150,0.47,4,1
437,0.84953422671004408,21/01/2016,1,200,0.47,4,1
210,0.69943452957890839,22/01/2016,1,100,0.49,5,1
282,0.76613982535829828,22/01/2016,1,135,0.49,5,1
314,0.80581165798194854,22/01/2016,1,150,0.49,5,1
419,0.85734187931234729,22/01/2016,1,200,0.49,5,1
223,0.68554071622061696,23/01/2016,1,100,0.46,6,1
301,0.75255377325840422,23/01/2016,1,135,0.46,6,1
334,0.79292728395700163,23/01/2016,1,150,0.46,6,1
446,0.84572444880116182,23/01/2016,1,200,0.46,6,1
219,0.69007376657928954,25/01/2016,1,100,0.47,1,1
294,0.75709330055004964,25/01/2016,1,135,0.47,1,1
327,0.79718983247790309,25/01/2016,1,150,0.47,1,1
437,0.84953422671004408,25/01/2016,1,200,0.47,1,1
214,0.69482467011973614,27/01/2016,1,100,0.48,3,1
288,0.76159738698802204,27/01/2016,1,135,0.48,3,1
320,0.80143253315270013,27/01/2016,1,150,0.48,3,1
428,0.8533736228424269,27/01/2016,1,200,0.48,3,1
228,0.6811183201156934,28/01/2016,1,100,0.45,4,1
307,0.74830605843924802,28/01/2016,1,135,0.45,4,1
342,0.78871339530508977,28/01/2016,1,150,0.45,4,1
456,0.84193165809647341,28/01/2016,1,200,0.45,4,1
214,0.69482467011973614,29/01/2016,1,100,0.48,5,1
288,0.76159738698802204,29/01/2016,1,135,0.48,5,1
320,0.80143253315270013,29/01/2016,1,150,0.48,5,1
428,0.8533736228424269,29/01/2016,1,200,0.48,5,1
219,0.69007376657928954,30/01/2016,1,100,0.47,6,1
294,0.75709330055004964,30/01/2016,1,135,0.47,6,1
