optimalnumber,probabilityrange,date,department,capacity,probability,day,month
384,0.76859753859151581,07/03/2016,1,150,0.4,1,3
513,0.82344631316495787,07/03/2016,1,200,0.4,1,3
264,0.65600733559733915,08/03/2016,1,100,0.39,2,3
355,0.72348000893189257,08/03/2016,1,135,0.39,2,3
394,0.7647666271641288,08/03/2016,1,150,0.39,2,3
526,0.81984075550824864,08/03/2016,1,200,0.39,2,3
270,0.65209820190088119,09/03/2016,1,100,0.38,3,3
364,0.71965888851313364,09/03/2016,1,135,0.38,3,3
405,0.76091875271355613,09/03/2016,1,150,0.38,3,3
540,0.81629941005183748,09/03/2016,1,200,0.38,3,3
257,0.66013703188490458,10/03/2016,1,100,0.4,4,3
346,0.72749627882342371,10/03/2016,1,135,0.4,4,3
384,0.76859753859151581,10/03/2016,1,150,0.4,4,3
513,0.82344631316495787,10/03/2016,1,200,0.4,4,3
245,0.66827534175116876,11/03/2016,1,100,0.42,5,3
329,0.73566091113263155,11/03/2016,1,135,0.42,5,3
366,0.77654319455925525,11/03/2016,1,150,0.42,5,3
489,0.83070219178189653,11/03/2016,1,200,0.42,5,3
270,0.65209820190088119,12/03/2016,1,100,0.38,6,3
364,0.71965888851313364,12/03/2016,1,135,0.38,6,3
405,0.76091875271355613,12/03/2016,1,150,0.38,6,3
540,0.81629941005183748,12/03/2016,1,200,0.38,6,3
245,0.66827534175116876,14/03/2016,1,100,0.42,1,3
329,0.73566091113263155,14/03/2016,1,135,0.42,1,3
366,0.77654319455925525,14/03/2016,1,150,0.42,1,3
489,0.83070219178189653,14/03/2016,1,200,0.42,1,3
264,0.65600733559733915,15/03/2016,1,100,0.39,2,3
355,0.72348000893189257,15/03/2016,1,135,0.39,2,3
394,0.7647666271641288,15/03/2016,1,150,0.39,2,3
526,0.81984075550824864,15/03/2016,1,200,0.39,2,3
264,0.65600733559733915,16/03/2016,1,100,0.39,3,3
355,0.72348000893189257,16/03/2016,1,135,0.39,3,3
394,0.7647666271641288,16/03/2016,1,150,0.39,3,3
526,0.81984075550824864,16/03/2016,1,200,0.39,3,3
270,0.65209820190088119,17/03/2016,1,100,0.38,4,3
364,0.71965888851313364,17/03/2016,1,135,0.38,4,3
405,0.76091875271355613,17/03/2016,1,150,0.38,4,3
540,0.81629941005183748,17/03/2016,1,200,0.38,4,3
257,0.66013703188490458,18/03/2016,1,100,0.4,5,3
346,0.72749627882342371,18/03/2016,1,135,0.4,5,3
384,0.76859753859151581,18/03/2016,1,150,0.4,5,3
513,0.82344631316495787,18/03/2016,1,200,0.4,5,3
270,0.65209820190088119,19/03/2016,1,100,0.38,6,3
364,0.71965888851313364,19/03/2016,1,135,0.38,6,3
405,0.76091875271355613,19/03/2016,1,150,0.38,6,3
540,0.81629941005183748,19/03/2016,1,200,0.38,6,3
257,0.66013703188490458,21/03/2016,1,100,0.4,1,3
346,0.72749627882342371,21/03/2016,1,135,0.4,1,3
384,0.76859753859151581,21/03/2016,1,150,0.4,1,3
513,0.82344631316495787,21/03/2016,1,200,0.4,1,3
264,0.65600733559733915,22/03/2016,1,100,0.39,2,3
355,0.72348000893189257,22/03/2016,1,135,0.39,2,3
394,0.7647666271641288,22/03/2016,1,150,0.39,2,3
526,0.81984075550824864,22/03/2016,1,200,0.39,2,3
278,0.64832622663182804,23/03/2016,1,100,0.37,3,3
374,0.71577603619748542,23/03/2016,1,135,0.37,3,3
416,0.75713735531986592,23/03/2016,1,150,0.37,3,3
555,0.81276078918394878,23/03/2016,1,200,0.37,3,3
302,0.63710851390589529,26/03/2016,1,100,0.34,6,3
407,0.70454887702239588,26/03/2016,1,135,0.34,6,3
452,0.74617287339458371,26/03/2016,1,150,0.34,6,3
604,0.80240695997393163,26/03/2016,1,200,0.34,6,3
270,0.65209820190088119,28/03/2016,1,100,0.38,1,3
364,0.71965888851313364,28/03/2016,1,135,0.38,1,3
405,0.76091875271355613,28/03/2016,1,150,0.38,1,3
540,0.81629941005183748,28/03/2016,1,200,0.38,1,3
264,0.65600733559733915,29/03/2016,1,100,0.39,2,3
